,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_noise,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,63.24518518447876,0.4090995312472177,0.7535315990447998,0.08592884219634309,0.0,{'noise': 0.0},289.25912629696546,281.3188391689853,223.97348396686016,180.9607315446008,354.73610088879127,266.04965637324057,59.409834692692705,1
1,63.613331365585324,0.5508423589027192,0.7715280532836915,0.034620415801748676,0.1111111111111111,{'noise': 0.1111111111111111},213.9854666444763,124.93629126246087,188.64129304035427,189.95247377815417,269.9765972346961,197.49842439202834,46.74518458965915,2
2,69.0749798297882,0.4646578028838781,0.6958324432373046,0.026373224455612857,0.2222222222222222,{'noise': 0.2222222222222222},150.72015495043567,126.42134266615703,77.20560080554733,83.93731368650593,164.99603492292954,120.65608940631509,35.040920080998816,3
3,68.32800703048706,2.481422956604141,0.7142314434051513,0.11322629793463723,0.3333333333333333,{'noise': 0.3333333333333333},58.13057783144756,61.314586089253716,45.13029783100141,60.541014131874554,73.04097274757092,59.63148972622963,8.899568369415002,4
4,69.1668423652649,5.015006152188549,0.6458270072937011,0.06997354031976731,0.4444444444444444,{'noise': 0.4444444444444444},34.56211699930363,39.69956503588818,31.319735855243653,31.773762447094807,41.657373041586034,35.80251067582326,4.1792608165220155,5
5,72.28032040596008,0.5028720118521985,0.7354838371276855,0.054480323010119375,0.5555555555555556,{'noise': 0.5555555555555556},29.092689513666585,15.980325320443626,27.173847886211792,17.76956172341307,16.483107128428227,21.29990631443266,5.6425790000704685,6
6,73.63685932159424,6.237688073747079,0.8719929695129395,0.09482046765750604,0.6666666666666666,{'noise': 0.6666666666666666},10.573560281239878,10.590611019077206,17.27031398527549,11.082433847890373,7.3505536791430375,11.373494562525197,3.234008364005684,7
7,77.37801537513732,1.409594077551462,0.9694823741912841,0.047158044184943855,0.7777777777777777,{'noise': 0.7777777777777777},7.428236077712497,9.703174596775593,7.607570700110248,7.766465302739921,12.464709698522297,8.994031275172112,1.9198645114770576,8
8,64.66590299606324,2.012424785784448,0.6129395008087158,0.16466344855380563,0.8888888888888888,{'noise': 0.8888888888888888},5.932318359344957,5.375195769074057,8.254108743021323,6.13287122461482,5.5430121702389386,6.247501253258819,1.0388624205241832,10
9,65.15089654922485,0.9469659725674756,0.4507401943206787,0.021186763405763913,1.0,{'noise': 1.0},4.241304109639449,7.024447743025654,9.614990331231569,5.837080572618802,8.12426732754559,6.968418016812213,1.8471895760924257,9
